Filename,Exposure,Moon_XC,Moon_YC,Moon_Radius,Mean_SB
DSC_3704-Position4-cal.fits,0.07692,nan,nan,nan,1.4642306566238403
DSC_3738-Position4-cal.fits,0.02,4652.0,2571.0,676.0,0.08169117569923401
DSC_3798-Position4-cal.fits,0.0025,4709.0,2293.0,677.0,0.0033109576907008886
DSC_3708-Position4-cal.fits,0.0025,4638.0,2650.0,676.0,0.06542583554983139
DSC_3700-Position4-cal.fits,0.005,4635.0,2652.0,676.0,0.12951648235321045
DSC_3875-Position2-cal.fits,0.07692,4842.0,1585.0,675.0,0.027960654348134995
DSC_3781-Position4-cal.fits,0.005,4699.0,2340.0,676.0,0.006390484515577555
DSC_3662-Position4-cal.fits,0.00125,4161.0,2749.0,641.0,0.0017367994878441095
DSC_3871-Position2-cal.fits,0.005,4846.0,1597.0,679.0,0.002019246108829975
DSC_3910-Position2-cal.fits,0.04,4862.0,1491.0,675.0,0.014263068325817585
DSC_3783-Position4-cal.fits,0.02,4699.0,2337.0,676.0,0.02398236095905304
DSC_3677-Position4-cal.fits,0.07692,4167.0,2744.0,642.0,0.016167379915714264
DSC_3897-Position2-cal.fits,0.0025,4856.0,1523.0,675.0,0.0011457514483481646
DSC_3696-Position4-cal.fits,0.16667,nan,nan,nan,2.5474419593811035
DSC_3729-Position4-cal.fits,0.02,4648.0,2598.0,676.0,0.10631703585386276
DSC_3782-Position4-cal.fits,0.01,4699.0,2338.0,676.0,0.0124214394018054
DSC_3887-Position2-cal.fits,0.00125,4855.0,1549.0,680.0,0.0007174154161475599
DSC_3955-Position3-cal.fits,0.04,4208.0,2387.0,675.0,0.011610257439315319
DSC_3764-Position4-cal.fits,0.01,4667.0,2501.0,676.0,0.01628573052585125
DSC_3667-Position4-cal.fits,0.04,4163.0,2748.0,643.0,0.013082779012620449
DSC_3843-Position1-cal.fits,0.0025,4771.0,1968.0,675.0,0.0010892223799601197
DSC_3803-Position4-cal.fits,0.07692,4711.0,2282.0,674.0,0.07441340386867523
DSC_3828-Position1-cal.fits,0.02,4761.0,2011.0,675.0,0.006956411059945822
DSC_3663-Position4-cal.fits,0.0025,4161.0,2748.0,640.0,0.0032087615691125393
DSC_3873-Position2-cal.fits,0.02,4841.0,1592.0,675.0,0.007306886371225119
DSC_3957-Position3-cal.fits,0.16667,4208.0,2384.0,675.0,0.044302187860012054
DSC_3785-Position4-cal.fits,0.07692,4701.0,2331.0,674.0,0.07435687631368637
DSC_3778-Position4-cal.fits,0.33333,4697.0,2349.0,672.0,0.17231141030788422
DSC_3638-Position4-cal.fits,0.01,4143.0,2763.0,640.0,0.00998849980533123
DSC_3913-Position2-cal.fits,0.33333,4862.0,1479.0,669.0,0.08204924315214157
DSC_3813-Position1-cal.fits,0.16667,4754.0,2054.0,674.0,0.04926704615354538
DSC_3900-Position2-cal.fits,0.02,4856.0,1518.0,675.0,0.007259311620146036
DSC_3680-Position4-cal.fits,0.00125,4021.0,2597.0,0.0,0.048157405108213425
DSC_3898-Position2-cal.fits,0.005,4775.0,1465.0,584.0,0.0020109915640205145
DSC_3652-Position4-cal.fits,0.33333,4148.0,2758.0,645.0,0.034084122627973557
DSC_3931-Position3-cal.fits,0.33333,4195.0,2453.0,672.0,0.07163521647453308
DSC_3765-Position4-cal.fits,0.02,4667.0,2498.0,676.0,0.02913956344127655
DSC_3670-Position4-cal.fits,0.33333,4162.0,2747.0,644.0,0.03366140276193619
DSC_3679-Position4-cal.fits,0.33333,4167.0,2741.0,644.0,0.033790502697229385
DSC_3743-Position4-cal.fits,0.00125,4656.0,2554.0,682.0,0.006559830158948898
DSC_3643-Position4-cal.fits,0.33333,4144.0,2764.0,645.0,0.03396609425544739
DSC_3664-Position4-cal.fits,0.005,4160.0,2749.0,640.0,0.006193160079419613
DSC_3675-Position4-cal.fits,0.02,4168.0,2744.0,641.0,0.011298545636236668
DSC_3872-Position2-cal.fits,0.01,4843.0,1598.0,675.0,0.0037694864440709352
DSC_3721-Position4-cal.fits,0.04,4639.0,2649.0,674.0,0.6743753552436829
DSC_3688-Position4-cal.fits,0.33333,nan,nan,nan,2.9265499114990234
DSC_3948-Position3-cal.fits,0.16667,4203.0,2408.0,675.0,0.04356520622968674
DSC_3940-Position3-cal.fits,0.33333,4199.0,2428.0,672.0,0.07342134416103363
DSC_3941-Position3-cal.fits,0.00125,4200.0,2423.0,677.0,0.0005895294598303735
DSC_3773-Position4-cal.fits,0.01,4694.0,2359.0,676.0,0.012401613406836987
DSC_3874-Position2-cal.fits,0.04,4842.0,1591.0,675.0,0.014395903795957565
DSC_3929-Position3-cal.fits,0.07692,4194.0,2459.0,675.0,0.021003900095820427
DSC_3849-Position1-cal.fits,0.16667,4773.0,1955.0,674.0,0.04898878559470177
DSC_3869-Position2-cal.fits,0.00125,4845.0,1595.0,680.0,0.000724250334315002
DSC_3932-Position3-cal.fits,0.00125,4196.0,2446.0,676.0,0.0005755885504186153
DSC_3881-Position2-cal.fits,0.01,4850.0,1568.0,678.0,0.0037617480847984552
DSC_3640-Position4-cal.fits,0.04,4144.0,2763.0,643.0,0.013229381293058395
DSC_3834-Position1-cal.fits,0.0025,4767.0,1992.0,676.0,0.0010905035305768251
DSC_3842-Position1-cal.fits,0.00125,4770.0,1969.0,676.0,0.0006829759804531932
DSC_3878-Position2-cal.fits,0.00125,4847.0,1571.0,678.0,0.0007182633853517473
DSC_3661-Position4-cal.fits,0.33333,4157.0,2753.0,645.0,0.03389182686805725
DSC_3846-Position1-cal.fits,0.02,4771.0,1962.0,675.0,0.0069235931150615215
DSC_3768-Position4-cal.fits,0.16667,4669.0,2491.0,673.0,0.1310080736875534
DSC_3831-Position1-cal.fits,0.16667,4763.0,2004.0,674.0,0.04901695251464844
DSC_3844-Position1-cal.fits,0.005,4772.0,1966.0,676.0,0.001908330712467432
DSC_3727-Position4-cal.fits,0.005,4649.0,2605.0,677.0,0.03258538618683815
DSC_3882-Position2-cal.fits,0.02,4846.0,1566.0,675.0,0.0072802770882844925
DSC_3909-Position2-cal.fits,0.02,4861.0,1493.0,675.0,0.007230464834719896
DSC_3925-Position3-cal.fits,0.005,4191.0,2466.0,676.0,0.00153535685967654
DSC_3810-Position1-cal.fits,0.02,4714.0,2262.0,676.0,0.023877518251538277
DSC_3739-Position4-cal.fits,0.04,4654.0,2569.0,675.0,0.14912909269332886
DSC_3658-Position4-cal.fits,0.04,4157.0,2753.0,643.0,0.013119766488671303
DSC_3890-Position2-cal.fits,0.01,4853.0,1543.0,677.0,0.0037452075630426407
DSC_3943-Position3-cal.fits,0.005,4188.0,2447.0,693.0,0.0016273109940811992
DSC_3698-Position4-cal.fits,0.00125,4170.0,3062.0,0.0,0.04041384160518646
DSC_3817-Position1-cal.fits,0.005,4757.0,2039.0,676.0,0.0019176547648385167
